                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                  0.253,                0.19294,                0.22675,                0.90748,                0.99305,                      1,                  0.995,                  0.995,                0.99305,                      1,                  0.995,                  0.995,                0.15611,                0.11408,                0.20136,                0.77798,              0.0007724,              0.0007724,              0.0007724
                     64,                0.22216,                0.18703,                0.22277,                 0.8938,                 0.9883,                      1,                  0.995,                  0.995,                 0.9883,                      1,                  0.995,                  0.995,                0.14633,                0.11592,                0.21764,                0.77769,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.2237,                0.18621,                  0.204,                0.89947,                0.98547,                      1,                  0.995,                0.98966,                0.98547,                      1,                  0.995,                  0.995,                0.16937,                0.11297,                0.25416,                0.79655,              0.0007328,              0.0007328,              0.0007328
                     66,                0.22058,                0.17945,                0.20139,                0.90337,                0.98549,                      1,                  0.995,                  0.995,                0.98549,                      1,                  0.995,                  0.995,                0.14485,                0.11269,                0.23682,                0.77562,               0.000713,               0.000713,               0.000713
                     67,                 0.2128,                0.15221,                0.20775,                0.90377,                0.98952,                      1,                  0.995,                  0.995,                0.98952,                      1,                  0.995,                  0.995,                0.13735,                0.10967,                0.20305,                0.76128,              0.0006932,              0.0006932,              0.0006932
                     68,                0.21687,                0.16681,                0.20648,                0.90663,                0.99666,                      1,                  0.995,                  0.995,                0.99666,                      1,                  0.995,                  0.995,                0.16079,                0.11148,                0.15624,                0.79075,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.2214,                0.16435,                0.20228,                0.89361,                0.99664,                      1,                  0.995,                  0.995,                0.99664,                      1,                  0.995,                  0.995,                0.14791,                0.11344,                0.14256,                0.77969,              0.0006536,              0.0006536,              0.0006536
                     70,                0.21471,                0.16463,                0.21311,                0.89583,                0.99655,                      1,                  0.995,                  0.995,                0.99655,                      1,                  0.995,                  0.995,                0.14399,                 0.1136,                0.15468,                 0.7669,              0.0006338,              0.0006338,              0.0006338
                     71,                0.22174,                0.17074,                 0.2145,                0.89312,                0.99647,                      1,                  0.995,                  0.995,                0.99647,                      1,                  0.995,                  0.995,                0.14133,                0.11338,                0.16854,                0.76832,               0.000614,               0.000614,               0.000614
                     72,                0.21562,                0.17018,                0.20633,                0.90364,                0.99652,                      1,                  0.995,                  0.995,                0.99652,                      1,                  0.995,                  0.995,                0.14097,                0.11184,                0.17398,                0.76518,              0.0005942,              0.0005942,              0.0005942
                     73,                0.20634,                0.15712,                0.18753,                0.90997,                0.99655,                      1,                  0.995,                  0.995,                0.99655,                      1,                  0.995,                  0.995,                0.14081,                0.11086,                0.18081,                0.77166,              0.0005744,              0.0005744,              0.0005744
